No,"7.60E-02","3.10E-01","4.50E+01","3.00E+01",18,"6.10E+00","1.10E+01","0.00E+00","0.00E+00"
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
No,"","","","",,"","","",""
